Javadoc coverage metrics,terça, 21 nov. 2023 21:43:07 WET
Method,JLOC
accept(File),0
"accept(File, String)",0
"compare(AIUnit, AIUnit)",0
"compare(Destination, Destination)",0
"compare(FreeColObject, FreeColObject)",0
"compare(Location, Location)",0
"compare(Scope, Scope)",0
"getCost(Unit, Location, Location, int)",0
getLocationData(UnitData),0
getMovesLeft(),0
getNewTurns(),0
mousePressed(MouseEvent),0
net.sf.freecol.AllTests.suite(),0
net.sf.freecol.FreeCol.FreeCol(),0
"net.sf.freecol.FreeCol.LogLevel.LogLevel(String, Level)",0
net.sf.freecol.FreeCol.LogLevel.buildLogger(),0
"net.sf.freecol.FreeCol.badFile(String, File)",7
net.sf.freecol.FreeCol.checkServerIntegrity(FreeColServer),5
net.sf.freecol.FreeCol.createSplashScreen(),0
"net.sf.freecol.FreeCol.errorFromException(Exception, String)",8
"net.sf.freecol.FreeCol.errorFromException(Exception, StringTemplate)",8
"net.sf.freecol.FreeCol.fatal(Logger, String)",6
net.sf.freecol.FreeCol.fatal(String),5
net.sf.freecol.FreeCol.fatal(StringTemplate),5
"net.sf.freecol.FreeCol.findArg(String, String[])",8
net.sf.freecol.FreeCol.getAdvantages(),6
net.sf.freecol.FreeCol.getAdvantagesDescription(),5
net.sf.freecol.FreeCol.getConfiguration(),7
net.sf.freecol.FreeCol.getDebugDescription(),5
net.sf.freecol.FreeCol.getDefaultSplashStream(JarURLConnection),10
net.sf.freecol.FreeCol.getDifficulty(),5
net.sf.freecol.FreeCol.getEuropeanCount(),5
net.sf.freecol.FreeCol.getFreeColProtocolVersion(),5
net.sf.freecol.FreeCol.getHeadless(),6
net.sf.freecol.FreeCol.getJarURLConnection(Class),7
net.sf.freecol.FreeCol.getLocale(),5
net.sf.freecol.FreeCol.getMetaServerAddress(),5
net.sf.freecol.FreeCol.getMetaServerPort(),5
net.sf.freecol.FreeCol.getName(),6
net.sf.freecol.FreeCol.getRevision(),5
net.sf.freecol.FreeCol.getRules(),5
net.sf.freecol.FreeCol.getRulesFile(),5
net.sf.freecol.FreeCol.getRulesSpecification(),5
net.sf.freecol.FreeCol.getServerHost(),5
net.sf.freecol.FreeCol.getServerName(),5
net.sf.freecol.FreeCol.getServerPort(),5
net.sf.freecol.FreeCol.getTc(),5
net.sf.freecol.FreeCol.getTimeout(boolean),9
net.sf.freecol.FreeCol.getValidAdvantages(),5
net.sf.freecol.FreeCol.getValidDifficulties(),5
net.sf.freecol.FreeCol.getValidGUIScales(),5
net.sf.freecol.FreeCol.getVersion(),6
net.sf.freecol.FreeCol.gripe(String),5
net.sf.freecol.FreeCol.gripe(StringTemplate),5
net.sf.freecol.FreeCol.handleArgs(String[]),6
"net.sf.freecol.FreeCol.loadSpecification(FreeColModFile, Advantages, String)",8
net.sf.freecol.FreeCol.main(String[]),5
"net.sf.freecol.FreeCol.printUsage(Options, int)",6
net.sf.freecol.FreeCol.processSpecialOptions(),3
net.sf.freecol.FreeCol.quit(int),5
net.sf.freecol.FreeCol.readVersion(JarURLConnection),7
net.sf.freecol.FreeCol.selectAdvantages(String),8
net.sf.freecol.FreeCol.selectDifficulty(String),6
net.sf.freecol.FreeCol.selectEuropeanCount(String),6
net.sf.freecol.FreeCol.setAdvantages(Advantages),5
net.sf.freecol.FreeCol.setDifficulty(OptionGroup),6
net.sf.freecol.FreeCol.setDifficulty(String),5
net.sf.freecol.FreeCol.setEuropeanCount(int),5
net.sf.freecol.FreeCol.setHeadless(boolean),7
net.sf.freecol.FreeCol.setLocale(String),9
net.sf.freecol.FreeCol.setMetaServer(String),6
net.sf.freecol.FreeCol.setName(String),5
net.sf.freecol.FreeCol.setRules(String),7
net.sf.freecol.FreeCol.setServerAddress(String),6
net.sf.freecol.FreeCol.setServerPort(String),6
net.sf.freecol.FreeCol.setTc(String),7
net.sf.freecol.FreeCol.setTimeout(String),5
net.sf.freecol.FreeCol.setWindowSize(String),8
net.sf.freecol.FreeCol.startClient(),3
net.sf.freecol.FreeCol.startServer(),3
net.sf.freecol.FreeCol.startTestClient(Specification),6
"net.sf.freecol.FreeCol.trace(Logger, String)",6
net.sf.freecol.client.AllTests.suite(),0
net.sf.freecol.client.ClientOptions.ClientOptions(),6
"net.sf.freecol.client.ClientOptions.addBooleanOption(String, String, boolean)",0
"net.sf.freecol.client.ClientOptions.addIntegerOption(String, String, int)",0
"net.sf.freecol.client.ClientOptions.addOptionGroup(String, String)",0
"net.sf.freecol.client.ClientOptions.addPercentageOption(String, String, int)",0
"net.sf.freecol.client.ClientOptions.addRangeOption(String, String, int, Map<Integer, String>)",8
"net.sf.freecol.client.ClientOptions.addTextOption(String, String, String)",7
net.sf.freecol.client.ClientOptions.fixClientOptions(),5
net.sf.freecol.client.ClientOptions.getActiveMods(),5
net.sf.freecol.client.ClientOptions.getColonyComparator(),5
net.sf.freecol.client.ClientOptions.getColonyComparatorInternal(int),6
net.sf.freecol.client.ClientOptions.getDisplayTileText(),5
net.sf.freecol.client.ClientOptions.getModelMessageComparator(Game),6
net.sf.freecol.client.ClientOptions.getPanelPosition(String),7
net.sf.freecol.client.ClientOptions.getPanelSize(String),7
net.sf.freecol.client.ClientOptions.getSpecialOptions(),8
net.sf.freecol.client.ClientOptions.getXMLTagName(),3
net.sf.freecol.client.ClientOptions.isRiverAnimationEnabled(),0
net.sf.freecol.client.ClientOptions.isTerrainAnimationsEnabled(),0
net.sf.freecol.client.ClientOptions.load(FreeColSavegameFile),6
net.sf.freecol.client.ClientOptions.merge(File),6
net.sf.freecol.client.ClientOptions.merge(FreeColSavegameFile),7
"net.sf.freecol.client.ClientOptions.regroup(String, String)",6
"net.sf.freecol.client.ClientTestHelper.startClient(FreeColServer, Specification)",0
net.sf.freecol.client.ClientTestHelper.stopClient(FreeColClient),0
"net.sf.freecol.client.FreeColClient.FreeColClient(SplashScreen, String, Dimension, String, boolean, boolean, File, ...)",17
net.sf.freecol.client.FreeColClient.addSpecificationActions(Specification),5
net.sf.freecol.client.FreeColClient.askServer(),5
net.sf.freecol.client.FreeColClient.askToQuit(),3
net.sf.freecol.client.FreeColClient.canSaveCurrentGame(),9
net.sf.freecol.client.FreeColClient.changeClientState(boolean),5
net.sf.freecol.client.FreeColClient.continuePlaying(),3
net.sf.freecol.client.FreeColClient.currentPlayerIsMyPlayer(),5
"net.sf.freecol.client.FreeColClient.failToMain(Exception, String)",8
"net.sf.freecol.client.FreeColClient.failToMain(Exception, StringTemplate)",8
net.sf.freecol.client.FreeColClient.getActionManager(),5
net.sf.freecol.client.FreeColClient.getAnimationSpeed(Player),6
net.sf.freecol.client.FreeColClient.getClientOptions(),6
net.sf.freecol.client.FreeColClient.getConnectController(),6
net.sf.freecol.client.FreeColClient.getFreeColServer(),6
net.sf.freecol.client.FreeColClient.getGUI(),5
net.sf.freecol.client.FreeColClient.getGame(),6
net.sf.freecol.client.FreeColClient.getInGameController(),5
net.sf.freecol.client.FreeColClient.getMapEditorController(),5
net.sf.freecol.client.FreeColClient.getMyPlayer(),6
net.sf.freecol.client.FreeColClient.getPreGameController(),5
net.sf.freecol.client.FreeColClient.getServerState(),5
net.sf.freecol.client.FreeColClient.getSinglePlayer(),6
net.sf.freecol.client.FreeColClient.getSoundController(),5
net.sf.freecol.client.FreeColClient.getVacantPlayerNames(),5
net.sf.freecol.client.FreeColClient.isAdmin(),5
net.sf.freecol.client.FreeColClient.isInGame(),5
net.sf.freecol.client.FreeColClient.isLoggedIn(),5
net.sf.freecol.client.FreeColClient.isMapEditor(),5
net.sf.freecol.client.FreeColClient.isReadyToStart(),5
net.sf.freecol.client.FreeColClient.loadClientOptions(File),17
"net.sf.freecol.client.FreeColClient.login(boolean, Game, Player, boolean)",10
net.sf.freecol.client.FreeColClient.logout(boolean),7
net.sf.freecol.client.FreeColClient.overrideDefaultUncaughtExceptionHandler(),0
net.sf.freecol.client.FreeColClient.quit(),3
net.sf.freecol.client.FreeColClient.restoreGUI(Player),5
net.sf.freecol.client.FreeColClient.retire(),3
net.sf.freecol.client.FreeColClient.setFreeColServer(FreeColServer),7
net.sf.freecol.client.FreeColClient.setGame(Game),6
net.sf.freecol.client.FreeColClient.setMapEditor(boolean),5
net.sf.freecol.client.FreeColClient.setMessageHandler(MessageHandler),6
net.sf.freecol.client.FreeColClient.setMyPlayer(Player),7
net.sf.freecol.client.FreeColClient.setServerState(ServerState),5
net.sf.freecol.client.FreeColClient.setSinglePlayer(boolean),5
net.sf.freecol.client.FreeColClient.setVacantPlayerNames(List<String>),5
net.sf.freecol.client.FreeColClient.skipTurns(int),5
"net.sf.freecol.client.FreeColClient.startFirstTaskInGui(String, boolean, File, Specification)",0
"net.sf.freecol.client.FreeColClient.startServer(boolean, boolean, File, InetAddress, int, String)",11
"net.sf.freecol.client.FreeColClient.startServer(boolean, boolean, Specification, InetAddress, int)",11
net.sf.freecol.client.FreeColClient.stopServer(),5
net.sf.freecol.client.FreeColClient.toggleClientOption(String),5
net.sf.freecol.client.FreeColClient.tutorialMode(),5
net.sf.freecol.client.FreeColClient.unblockServer(int),6
net.sf.freecol.client.FreeColClient.updateActions(),4
net.sf.freecol.client.control.AllTests.suite(),0
